,Customer_ID,Name,Age,Gender,Email,Phone,Salary,Purchase_History,Signup_Date,Membership_Level,Feedback
68,9529,Bob,22.0,Male,user2959@gmail.com,+234803904422,30000.0,15,2015-03-10,Silver,Bad
69,1878,Bob,22.0,Male,user3351@gmail.com,Invalid,404993.47896967723,3,2015-03-11,Gold,Bad
72,7331,Bob,22.0,Male,user795@gmail.com,Invalid,50000.0,9,2015-03-14,Bronze,Poor
75,8208,Hannah,50.0,Male,user3934@gmail.com,+234808679846,70000.0,9,2015-03-17,Gold,Excellent
77,3062,Charlie,18.0,Male,user1134@gmail.com,+234808655954,1000000.0,5,2015-03-19,Silver,Good
78,1064,Hannah,22.0,Male,user3372@gmail.com,+234809785594,1000000.0,14,2015-03-20,Gold,Average
84,6258,Bob,30.0,Male,user2895@gmail.com,+234808289840,100000.0,0,2015-03-26,Platinum,Excellent
85,6618,Bob,30.0,Male,user141@gmail.com,+234805606095,100000.0,17,2015-03-27,Platinum,Excellent
87,1391,Alice,30.0,Female,user205@gmail.com,+234801314262,30000.0,15,2015-03-29,Gold,Good
90,7184,Bob,50.0,Female,user4952@gmail.com,+234802867927,50000.0,2,2015-04-01,Bronze,Average
93,9392,Alice,40.0,Male,user1629@gmail.com,+234801396707,404993.47896967723,11,2015-04-04,Gold,Excellent
94,4104,David,35.0,Male,user1995@gmail.com,+234802389428,404993.47896967723,1,2015-04-05,VIP,Good
97,9996,Charlie,60.0,Female,user1518@gmail.com,+234809135612,100000.0,9,2015-04-08,VIP,Excellent
101,9110,Eve,40.0,Male,user2495@gmail.com,+234806153513,30000.0,15,2015-04-12,Gold,Good
109,1206,Bob,60.0,Male,user1914@gmail.com,+234807834195,150000.0,0,2015-04-20,Silver,Excellent
125,7892,Eve,22.0,Male,user4441@gmail.com,+234805401831,150000.0,16,2015-05-06,Gold,Average
128,5636,Frank,30.0,Male,user1765@gmail.com,+234807889694,50000.0,3,2015-05-09,Gold,Good
130,7668,Hannah,30.0,Female,user3874@gmail.com,+234808673748,404993.47896967723,1,2015-05-11,VIP,Average
134,4627,Alice,18.0,Female,user2526@gmail.com,Invalid,100000.0,12,2015-05-15,Silver,Average
138,8392,Eve,40.0,Male,user4189@gmail.com,+234807482668,30000.0,13,2015-05-19,Platinum,Average
140,7776,Grace,35.0,Female,user439@gmail.com,+234806162334,1000000.0,18,2015-05-21,Gold,Excellent
147,4748,Alice,30.0,Male,user854@gmail.com,+234807053320,30000.0,2,2015-05-28,Bronze,Excellent
153,4763,Alice,40.0,Female,user3046@gmail.com,+234804016197,30000.0,14,2015-06-03,VIP,Good
154,6232,Hannah,30.0,Male,user4831@gmail.com,+234807253221,404993.47896967723,18,2015-06-04,Bronze,Excellent
160,8280,Eve,30.0,Male,user3614@gmail.com,+234802383827,1000000.0,6,2015-06-10,VIP,Poor
176,4510,Frank,40.0,Male,user3865@gmail.com,+234804432252,100000.0,19,2015-06-26,Gold,Good
179,9958,David,35.0,Male,user3087@gmail.com,+234804130314,30000.0,4,2015-06-29,VIP,Average
186,8125,Bob,22.0,Female,user2590@gmail.com,+234807935934,100000.0,19,2015-07-06,VIP,Excellent
189,9800,Grace,30.0,Male,user3645@gmail.com,+234805811189,100000.0,13,2015-07-09,Silver,Average
193,3811,Hannah,30.0,Female,user4605@gmail.com,+234808440626,100000.0,8,2015-07-13,Platinum,Average
198,3911,Frank,35.0,Male,user2448@gmail.com,+234805972302,50000.0,16,2015-07-18,Silver,Bad
199,2734,Bob,60.0,Male,user4550@gmail.com,+234809031681,404993.47896967723,17,2015-07-19,VIP,Poor
200,2843,Charlie,18.0,Male,user23@gmail.com,+234805238358,404993.47896967723,16,2015-07-20,Platinum,Good
202,3976,Frank,30.0,Male,user189@gmail.com,+234806190374,30000.0,8,2015-07-22,Silver,Average
203,2959,Charlie,40.0,Female,user416@gmail.com,+234801848614,1000000.0,15,2015-07-23,Silver,Poor
214,1262,Charlie,60.0,Male,user3985@gmail.com,+234804952697,100000.0,17,2015-08-03,Silver,Excellent
215,7287,Hannah,30.0,Male,user2473@gmail.com,Invalid,1000000.0,11,2015-08-04,Gold,Good
218,6423,Frank,30.0,Male,user2455@gmail.com,+234806072355,70000.0,16,2015-08-07,Bronze,Good
225,2154,Eve,30.0,Female,user781@gmail.com,+234804674254,1000000.0,11,2015-08-14,Gold,Average
227,7295,Frank,25.0,Female,user3270@gmail.com,+234801760512,404993.47896967723,13,2015-08-16,Silver,Good
229,2648,Charlie,40.0,Male,user749@gmail.com,+234802428195,30000.0,16,2015-08-18,Bronze,Poor
242,9352,Hannah,40.0,Female,user597@gmail.com,+234806987287,50000.0,8,2015-08-31,Gold,Poor
243,6699,David,40.0,Female,user4826@gmail.com,+234803459847,70000.0,0,2015-09-01,Platinum,Good
249,2218,Charlie,30.0,Male,user238@gmail.com,Invalid,150000.0,0,2015-09-07,Gold,Average
267,8683,Hannah,30.0,Male,user4128@gmail.com,+234802178235,150000.0,5,2015-09-25,VIP,Excellent
269,8679,Eve,30.0,Male,user4624@gmail.com,+234807824095,404993.47896967723,3,2015-09-27,Bronze,Good
287,2184,Hannah,50.0,Male,user3407@gmail.com,+234804242056,1000000.0,14,2015-10-15,Platinum,Excellent
290,9319,Grace,40.0,Male,user3234@gmail.com,+234801925215,50000.0,7,2015-10-18,VIP,Average
291,2816,Grace,60.0,Female,user768@gmail.com,+234805718718,150000.0,19,2015-10-19,Silver,Average
292,6854,Grace,18.0,Male,user2171@gmail.com,+234808117813,30000.0,12,2015-10-20,Gold,Good
297,3733,Charlie,22.0,Female,user3167@gmail.com,+234801059373,30000.0,9,2015-10-25,Bronze,Bad
301,2686,Charlie,30.0,Female,user815@gmail.com,+234805583369,150000.0,8,2015-10-29,Silver,Bad
304,1154,Hannah,50.0,Male,user2938@gmail.com,+234806012385,1000000.0,14,2015-11-01,Bronze,Poor
317,9716,Hannah,25.0,Male,user2222@gmail.com,+234807666615,100000.0,8,2015-11-14,Silver,Poor
323,3368,Hannah,50.0,Male,user4491@gmail.com,+234807808470,150000.0,19,2015-11-20,Platinum,Poor
326,5495,Bob,22.0,Male,user1879@gmail.com,+234802413979,50000.0,16,2015-11-23,Silver,Poor
339,4854,David,22.0,Male,user3590@gmail.com,+234807239913,150000.0,18,2015-12-06,Silver,Poor
340,3491,Hannah,30.0,Male,user1551@gmail.com,+234808954100,150000.0,5,2015-12-07,Gold,Poor
343,4051,Grace,50.0,Male,user3631@gmail.com,+234801598953,150000.0,16,2015-12-10,Silver,Good
346,6315,Hannah,35.0,Male,user2386@gmail.com,Invalid,70000.0,15,2015-12-13,VIP,Poor
349,8027,Frank,22.0,Male,user3493@gmail.com,+234809819463,1000000.0,4,2015-12-16,Silver,Average
351,7966,Hannah,30.0,Male,user3600@gmail.com,+234807581582,150000.0,15,2015-12-18,Gold,Bad
356,1635,Alice,40.0,Female,user1328@gmail.com,+234807835294,150000.0,13,2015-12-23,Platinum,Good
362,9932,Hannah,30.0,Male,user1436@gmail.com,+234807305008,70000.0,6,2015-12-29,Bronze,Poor
367,8560,Eve,22.0,Male,user862@gmail.com,+234809114524,50000.0,11,2016-01-03,Gold,Bad
372,8805,Alice,40.0,Female,user853@gmail.com,+234806608053,50000.0,8,2016-01-08,Platinum,Poor
382,4147,Charlie,30.0,Female,user503@gmail.com,+234804658094,150000.0,6,2016-01-18,Bronze,Average
383,5249,Hannah,30.0,Male,user1974@gmail.com,+234803126504,1000000.0,9,2016-01-19,Gold,Excellent
393,8421,Hannah,30.0,Female,user3597@gmail.com,+234801568330,50000.0,8,2016-01-29,Silver,Good
394,5452,Hannah,25.0,Male,user2824@gmail.com,+234808429085,404993.47896967723,7,2016-01-30,Platinum,Poor
396,7665,Frank,30.0,Male,user2749@gmail.com,+234808475134,50000.0,15,2016-02-01,Gold,Excellent
402,3839,Frank,35.0,Female,user2553@gmail.com,+234805616472,404993.47896967723,19,2016-02-07,VIP,Average
409,3427,Frank,60.0,Female,user2158@gmail.com,+234808588204,404993.47896967723,11,2016-02-14,Bronze,Poor
412,3738,Alice,22.0,Female,user541@gmail.com,+234802065474,30000.0,14,2016-02-17,Gold,Poor
417,4913,Eve,35.0,Female,user922@gmail.com,+234804233873,1000000.0,13,2016-02-22,Gold,Average
426,9967,David,25.0,Female,user4827@gmail.com,+234808402216,30000.0,9,2016-03-02,Gold,Poor
431,4974,Bob,35.0,Male,user4410@gmail.com,+234806314503,404993.47896967723,10,2016-03-07,Bronze,Poor
434,8668,Charlie,60.0,Female,user2052@gmail.com,+234809852347,1000000.0,4,2016-03-10,VIP,Good
436,1412,Frank,50.0,Female,user2305@gmail.com,Invalid,30000.0,16,2016-03-12,Gold,Excellent
446,2122,Grace,18.0,Male,user4291@gmail.com,+234802107384,70000.0,9,2016-03-22,Platinum,Excellent
448,2571,Grace,30.0,Male,user2150@gmail.com,+234803783836,70000.0,10,2016-03-24,Bronze,Excellent
453,8357,Eve,18.0,Male,user3021@gmail.com,+234809100818,1000000.0,6,2016-03-29,Platinum,Good
462,2365,Frank,30.0,Male,user4790@gmail.com,+234803549209,404993.47896967723,8,2016-04-07,Silver,Bad
467,8400,David,35.0,Male,user4186@gmail.com,+234804607843,30000.0,12,2016-04-12,Bronze,Poor
469,5171,Eve,22.0,Female,user2351@gmail.com,+234808595878,100000.0,5,2016-04-14,Bronze,Excellent
471,3502,Alice,18.0,Female,user1119@gmail.com,+234806079663,30000.0,13,2016-04-16,Silver,Excellent
473,3782,Hannah,30.0,Male,user4379@gmail.com,Invalid,30000.0,10,2016-04-18,Gold,Poor
478,8266,Charlie,25.0,Male,user2459@gmail.com,+234809309874,100000.0,5,2016-04-23,Gold,Good
487,8860,Hannah,30.0,Female,user1182@gmail.com,+234803203810,70000.0,4,2016-05-02,Gold,Bad
489,6305,Bob,30.0,Female,user4765@gmail.com,Invalid,30000.0,18,2016-05-04,VIP,Average
494,9924,Bob,30.0,Female,user2509@gmail.com,Invalid,30000.0,4,2016-05-09,Bronze,Bad
499,7731,David,22.0,Female,user4483@gmail.com,+234808799852,150000.0,1,2016-05-14,Silver,Good
502,3539,Frank,18.0,Male,user1533@gmail.com,+234809698385,50000.0,8,2016-05-17,Silver,Bad
504,2542,Bob,30.0,Female,user3165@gmail.com,+234807280475,1000000.0,2,2016-05-19,VIP,Good
511,7172,Frank,40.0,Female,user226@gmail.com,+234801397450,70000.0,6,2016-05-26,Silver,Excellent
519,4141,Grace,30.0,Male,user1517@gmail.com,+234802114464,70000.0,14,2016-06-03,Platinum,Bad
528,6977,Grace,30.0,Female,user4978@gmail.com,+234801892169,50000.0,0,2016-06-12,Gold,Poor
541,1823,Frank,30.0,Female,user4020@gmail.com,+234805576864,50000.0,3,2016-06-25,Bronze,Bad
542,1928,Charlie,25.0,Female,user1838@gmail.com,Invalid,30000.0,6,2016-06-26,Silver,Excellent
556,4486,Grace,22.0,Male,user2064@gmail.com,+234807485324,404993.47896967723,12,2016-07-10,Silver,Bad
558,9053,Grace,25.0,Female,user3718@gmail.com,+234806821478,50000.0,19,2016-07-12,Gold,Poor
561,9662,Charlie,50.0,Male,user3850@gmail.com,+234809626035,70000.0,0,2016-07-15,VIP,Excellent
562,9120,Eve,22.0,Female,user1868@gmail.com,+234805521126,70000.0,0,2016-07-16,Platinum,Excellent
565,6063,Grace,18.0,Female,user1969@gmail.com,+234805461131,150000.0,4,2016-07-19,Silver,Poor
570,7819,Grace,35.0,Male,user3651@gmail.com,+234801616676,50000.0,9,2016-07-24,Silver,Excellent
571,4719,Grace,40.0,Male,user1561@gmail.com,+234803061973,70000.0,14,2016-07-25,Gold,Bad
574,1539,Hannah,30.0,Female,user4733@gmail.com,+234805036240,404993.47896967723,4,2016-07-28,Platinum,Good
577,4775,Alice,50.0,Male,user4405@gmail.com,+234803329062,404993.47896967723,13,2016-07-31,Silver,Excellent
578,7042,Frank,60.0,Male,user4375@gmail.com,+234806208133,404993.47896967723,11,2016-08-01,Gold,Good
579,8102,Charlie,60.0,Male,user62@gmail.com,+234801621632,50000.0,4,2016-08-02,Bronze,Excellent
586,2581,Charlie,30.0,Male,user3831@gmail.com,+234807493367,50000.0,13,2016-08-09,VIP,Excellent
587,8714,Bob,50.0,Female,user351@gmail.com,+234802532735,50000.0,2,2016-08-10,Platinum,Poor
589,6713,Charlie,35.0,Female,user183@gmail.com,+234804344001,1000000.0,18,2016-08-12,Platinum,Good
592,5804,Grace,35.0,Male,user3856@gmail.com,+234805028482,1000000.0,11,2016-08-15,Bronze,Excellent
593,2838,Alice,35.0,Male,user4077@gmail.com,+234808061411,100000.0,3,2016-08-16,Gold,Bad
595,3871,Bob,30.0,Male,user3028@gmail.com,+234805511677,100000.0,17,2016-08-18,Platinum,Poor
596,9989,Alice,18.0,Female,user1169@gmail.com,+234806953393,1000000.0,10,2016-08-19,Gold,Bad
610,2633,David,30.0,Female,user1384@gmail.com,+234803229643,50000.0,19,2016-09-02,Bronze,Average
611,8266,Alice,25.0,Male,user2379@gmail.com,+234805096319,100000.0,13,2016-09-03,Platinum,Poor
615,9175,Eve,22.0,Female,user747@gmail.com,+234809629446,1000000.0,10,2016-09-07,Bronze,Average
616,3000,Hannah,50.0,Male,user3530@gmail.com,+234809662124,404993.47896967723,5,2016-09-08,Platinum,Bad
620,8140,Bob,30.0,Female,user3225@gmail.com,+234802875335,70000.0,1,2016-09-12,Bronze,Poor
627,3048,Eve,30.0,Male,user63@gmail.com,+234808710268,404993.47896967723,3,2016-09-19,Gold,Poor
632,5544,Hannah,40.0,Female,user4730@gmail.com,+234807600810,100000.0,6,2016-09-24,Bronze,Excellent
636,1249,Alice,18.0,Male,user1163@gmail.com,+234803070677,1000000.0,15,2016-09-28,Bronze,Excellent
637,9865,Eve,25.0,Male,user1450@gmail.com,+234803354814,30000.0,3,2016-09-29,Bronze,Poor
649,2252,Grace,30.0,Female,user1076@gmail.com,+234802188145,30000.0,7,2016-10-11,Gold,Bad
653,7881,Charlie,40.0,Female,user3859@gmail.com,+234803408983,50000.0,11,2016-10-15,Platinum,Poor
664,5854,Frank,18.0,Female,user2063@gmail.com,+234806955818,404993.47896967723,8,2016-10-26,VIP,Poor
666,8730,Hannah,35.0,Female,user1897@gmail.com,+234808743606,100000.0,6,2016-10-28,Gold,Average
668,5892,Frank,35.0,Female,user3590@gmail.com,+234803152383,1000000.0,11,2016-10-30,Gold,Bad
670,1137,Grace,30.0,Female,user4483@gmail.com,+234804401039,50000.0,11,2016-11-01,VIP,Poor
675,4579,David,30.0,Female,user3024@gmail.com,+234809726484,1000000.0,14,2016-11-06,Gold,Bad
678,8941,David,50.0,Male,user1908@gmail.com,+234809340197,50000.0,19,2016-11-09,Bronze,Poor
682,4818,Bob,60.0,Female,user1594@gmail.com,+234808390408,404993.47896967723,18,2016-11-13,Gold,Bad
689,7090,Hannah,60.0,Male,user1543@gmail.com,+234801321835,1000000.0,11,2016-11-20,Gold,Average
699,8570,Alice,30.0,Male,user1571@gmail.com,+234805330192,70000.0,13,2016-11-30,Gold,Average
704,4900,Alice,25.0,Female,user3525@gmail.com,+234801296275,404993.47896967723,1,2016-12-05,Bronze,Average
709,3393,Eve,60.0,Male,user362@gmail.com,+234809062041,70000.0,10,2016-12-10,Bronze,Average
712,7937,David,30.0,Female,user4738@gmail.com,+234802548621,50000.0,18,2016-12-13,Gold,Bad
716,3878,Alice,40.0,Female,user4981@gmail.com,+234806756515,1000000.0,3,2016-12-17,Bronze,Excellent
718,4644,Frank,25.0,Male,user2635@gmail.com,+234809834996,50000.0,16,2016-12-19,VIP,Excellent
723,1638,Eve,22.0,Male,user3796@gmail.com,+234805991353,30000.0,13,2016-12-24,Gold,Bad
727,3125,Frank,50.0,Male,user2388@gmail.com,+234806390803,150000.0,15,2016-12-28,Gold,Excellent
739,9172,Hannah,30.0,Male,user4887@gmail.com,+234809917443,404993.47896967723,3,2017-01-09,Bronze,Average
744,2906,Bob,22.0,Female,user2864@gmail.com,+234805171777,404993.47896967723,0,2017-01-14,Platinum,Excellent
754,1125,Hannah,30.0,Male,user529@gmail.com,+234803505700,50000.0,3,2017-01-24,Platinum,Average
755,5632,Charlie,60.0,Male,user4853@gmail.com,+234809145089,70000.0,17,2017-01-25,Platinum,Average
756,7288,Frank,18.0,Female,user138@gmail.com,+234808660526,30000.0,5,2017-01-26,Gold,Good
758,7168,Grace,30.0,Female,user2411@gmail.com,+234805525563,70000.0,14,2017-01-28,Gold,Good
762,7371,David,60.0,Male,user2416@gmail.com,+234805855585,50000.0,15,2017-02-01,Silver,Poor
764,8943,Eve,18.0,Female,user3019@gmail.com,+234801581155,150000.0,5,2017-02-03,Gold,Good
768,3739,David,18.0,Female,user840@gmail.com,Invalid,404993.47896967723,4,2017-02-07,VIP,Poor
770,2761,Grace,30.0,Female,user1512@gmail.com,+234806590391,404993.47896967723,13,2017-02-09,Bronze,Average
775,2605,Charlie,30.0,Female,user4750@gmail.com,+234804312040,1000000.0,11,2017-02-14,VIP,Poor
789,9195,Bob,30.0,Female,user1619@gmail.com,Invalid,150000.0,15,2017-02-28,Bronze,Good
794,6560,Alice,22.0,Male,user1213@gmail.com,+234804083479,404993.47896967723,1,2017-03-05,Silver,Poor
801,5208,Bob,60.0,Female,user720@gmail.com,+234808056661,30000.0,5,2017-03-12,Gold,Bad
802,7283,Alice,30.0,Female,user1264@gmail.com,+234808720555,50000.0,17,2017-03-13,VIP,Excellent
803,3048,Frank,30.0,Male,user3506@gmail.com,+234804699991,50000.0,14,2017-03-14,Gold,Poor
813,7038,Grace,22.0,Female,user1572@gmail.com,+234801562355,50000.0,3,2017-03-24,Gold,Bad
816,3060,Eve,40.0,Male,user3636@gmail.com,+234801580446,404993.47896967723,1,2017-03-27,Gold,Poor
821,3832,Hannah,30.0,Female,user1048@gmail.com,+234805481884,100000.0,6,2017-04-01,Silver,Bad
827,1235,Bob,18.0,Female,user2478@gmail.com,+234808774371,150000.0,18,2017-04-07,Platinum,Poor
834,3560,Frank,50.0,Male,user1269@gmail.com,+234807867830,100000.0,3,2017-04-14,Gold,Excellent
835,6415,Eve,22.0,Male,user2427@gmail.com,+234803561566,404993.47896967723,10,2017-04-15,Silver,Bad
836,4391,Bob,18.0,Female,user904@gmail.com,+234809307252,50000.0,1,2017-04-16,VIP,Average
839,9007,David,60.0,Male,user3167@gmail.com,+234809150875,70000.0,15,2017-04-19,VIP,Poor
844,8546,Alice,25.0,Male,user4496@gmail.com,+234806783905,404993.47896967723,12,2017-04-24,Bronze,Poor
845,1077,Alice,40.0,Female,user4529@gmail.com,+234809144269,404993.47896967723,10,2017-04-25,Gold,Poor
847,5227,Grace,25.0,Male,user717@gmail.com,+234803880927,150000.0,15,2017-04-27,Gold,Bad
850,3136,David,40.0,Male,user24@gmail.com,Invalid,50000.0,19,2017-04-30,Silver,Excellent
851,7943,Eve,40.0,Female,user3371@gmail.com,Invalid,70000.0,2,2017-05-01,Bronze,Good
854,6984,Charlie,30.0,Male,user1537@gmail.com,Invalid,404993.47896967723,13,2017-05-04,VIP,Good
855,6142,Hannah,30.0,Male,user3237@gmail.com,+234804732169,150000.0,14,2017-05-05,Platinum,Average
862,2997,Alice,60.0,Male,user3553@gmail.com,+234803697772,70000.0,2,2017-05-12,Silver,Average
872,6742,David,50.0,Male,user2092@gmail.com,+234805447187,70000.0,6,2017-05-22,Gold,Excellent
891,8863,Bob,30.0,Male,user1496@gmail.com,+234802688749,30000.0,3,2017-06-10,Bronze,Bad
892,4228,Bob,30.0,Male,user1325@gmail.com,+234809931758,30000.0,9,2017-06-11,Silver,Bad
899,3674,Bob,25.0,Female,user1664@gmail.com,+234809867128,50000.0,13,2017-06-18,Platinum,Excellent
905,1814,Eve,50.0,Male,user1310@gmail.com,Invalid,404993.47896967723,19,2017-06-24,Platinum,Good
911,8790,Grace,30.0,Male,user3437@gmail.com,+234808971473,404993.47896967723,7,2017-06-30,VIP,Excellent
920,9795,Bob,50.0,Female,user3751@gmail.com,+234805626238,100000.0,5,2017-07-09,Gold,Excellent
924,8196,Alice,30.0,Female,user1867@gmail.com,+234805811317,404993.47896967723,8,2017-07-13,Bronze,Average
927,2792,Bob,40.0,Male,user1029@gmail.com,Invalid,100000.0,17,2017-07-16,Gold,Average
930,4417,Grace,22.0,Female,user2150@gmail.com,+234804641538,1000000.0,19,2017-07-19,VIP,Bad
931,2645,Bob,50.0,Male,user495@gmail.com,Invalid,50000.0,17,2017-07-20,Platinum,Good
932,4030,Alice,35.0,Female,user317@gmail.com,+234801092968,70000.0,4,2017-07-21,VIP,Average
935,2854,Hannah,18.0,Male,user4354@gmail.com,+234806524883,1000000.0,1,2017-07-24,Silver,Excellent
941,8112,Alice,40.0,Female,user507@gmail.com,+234802723878,100000.0,14,2017-07-30,Platinum,Excellent
943,4507,Bob,50.0,Male,user2252@gmail.com,+234801330507,404993.47896967723,2,2017-08-01,Platinum,Bad
944,7456,Charlie,30.0,Female,user1569@gmail.com,+234803820453,50000.0,8,2017-08-02,Bronze,Excellent
947,9766,Eve,30.0,Female,user2374@gmail.com,+234803906001,150000.0,4,2017-08-05,Bronze,Average
952,9070,Charlie,25.0,Male,user4968@gmail.com,+234804740925,70000.0,0,2017-08-10,Bronze,Average
956,4600,Bob,30.0,Female,user4368@gmail.com,+234802139413,150000.0,16,2017-08-14,Platinum,Excellent
957,7783,Frank,50.0,Male,user4758@gmail.com,+234804194603,150000.0,9,2017-08-15,Bronze,Average
961,6299,Frank,25.0,Male,user1173@gmail.com,+234805454745,100000.0,12,2017-08-19,Platinum,Excellent
964,7320,Hannah,50.0,Male,user1263@gmail.com,Invalid,404993.47896967723,0,2017-08-22,Gold,Bad
965,5380,Hannah,60.0,Female,user4780@gmail.com,Invalid,70000.0,11,2017-08-23,Silver,Poor
968,6588,Bob,22.0,Female,user660@gmail.com,+234801396039,70000.0,11,2017-08-26,Gold,Poor
973,5243,Alice,22.0,Male,user3479@gmail.com,+234808332113,70000.0,2,2017-08-31,Silver,Excellent
977,7704,Frank,50.0,Female,user4463@gmail.com,+234804170210,150000.0,12,2017-09-04,Gold,Excellent
978,5422,Frank,35.0,Male,user1818@gmail.com,+234807007187,1000000.0,16,2017-09-05,Platinum,Excellent
981,9058,Frank,30.0,Female,user412@gmail.com,Invalid,150000.0,10,2017-09-08,Platinum,Average
983,9914,Hannah,50.0,Female,user4124@gmail.com,+234805242369,50000.0,15,2017-09-10,Gold,Poor
985,3717,Eve,18.0,Female,user1768@gmail.com,+234806020489,100000.0,7,2017-09-12,Silver,Poor
986,5524,David,30.0,Male,user3877@gmail.com,+234806497550,70000.0,19,2017-09-13,Gold,Bad
992,6490,Frank,60.0,Female,user4281@gmail.com,+234802301108,100000.0,12,2017-09-19,VIP,Average
995,6232,Eve,18.0,Female,user1413@gmail.com,+234805314952,30000.0,17,2017-09-22,Platinum,Poor
997,5926,Eve,18.0,Male,user4912@gmail.com,Invalid,1000000.0,13,2017-09-24,VIP,Good
998,7016,Grace,25.0,Female,user2101@gmail.com,+234801835388,50000.0,3,2017-09-25,Platinum,Excellent
1007,4462,Alice,30.0,Female,user1569@gmail.com,+234804327699,404993.47896967723,15,2017-10-04,Gold,Excellent
1010,9519,Eve,40.0,Female,user3009@gmail.com,+234806953861,50000.0,1,2017-10-07,Bronze,Bad
1017,4675,Alice,60.0,Female,user3281@gmail.com,+234801445190,404993.47896967723,14,2017-10-14,Platinum,Poor
1018,4054,Eve,18.0,Female,user510@gmail.com,+234801162750,150000.0,9,2017-10-15,Silver,Bad
1028,1822,Frank,22.0,Male,user1817@gmail.com,+234805452859,150000.0,18,2017-10-25,VIP,Bad
1030,7150,Charlie,30.0,Male,user1717@gmail.com,+234801249171,30000.0,14,2017-10-27,Gold,Bad
1034,5242,Eve,30.0,Female,user4470@gmail.com,+234809500373,1000000.0,4,2017-10-31,Silver,Good
1036,4452,Hannah,30.0,Female,user1628@gmail.com,+234803603650,404993.47896967723,18,2017-11-02,Gold,Bad
1046,5491,Hannah,50.0,Female,user3085@gmail.com,+234807421135,1000000.0,8,2017-11-12,Gold,Average
1048,1804,Hannah,22.0,Female,user3464@gmail.com,+234802779532,100000.0,1,2017-11-14,Silver,Excellent
1050,8083,Bob,18.0,Male,user4093@gmail.com,+234803948873,30000.0,9,2017-11-16,Bronze,Average
1053,2387,Charlie,22.0,Male,user1527@gmail.com,+234807518202,50000.0,1,2017-11-19,Platinum,Poor
1054,3679,Eve,50.0,Male,user793@gmail.com,+234803804577,50000.0,15,2017-11-20,Platinum,Bad
1061,3573,Eve,30.0,Male,user95@gmail.com,Invalid,70000.0,15,2017-11-27,VIP,Bad
1065,2304,Bob,25.0,Female,user2661@gmail.com,+234807956780,100000.0,18,2017-12-01,Platinum,Bad
1072,9633,Bob,60.0,Male,user4770@gmail.com,+234804198498,70000.0,15,2017-12-08,Silver,Poor
1076,6475,Bob,40.0,Female,user2448@gmail.com,+234809072129,1000000.0,0,2017-12-12,Bronze,Poor
1082,9041,Eve,30.0,Female,user343@gmail.com,+234805182085,150000.0,14,2017-12-18,Silver,Bad
1083,1341,Grace,30.0,Male,user1451@gmail.com,Invalid,150000.0,7,2017-12-19,VIP,Bad
1085,8992,Eve,40.0,Female,user1991@gmail.com,+234804737956,150000.0,15,2017-12-21,VIP,Average
1086,1645,Eve,50.0,Female,user1632@gmail.com,+234805700345,50000.0,14,2017-12-22,Silver,Bad
1090,9646,David,22.0,Female,user2281@gmail.com,+234802773385,150000.0,16,2017-12-26,Bronze,Bad
1096,5225,Hannah,35.0,Female,user1039@gmail.com,+234808872853,30000.0,19,2018-01-01,Bronze,Poor
1098,6941,Grace,60.0,Female,user1155@gmail.com,+234801564750,30000.0,10,2018-01-03,VIP,Poor
1099,2386,Bob,60.0,Female,user1751@gmail.com,+234802171923,150000.0,2,2018-01-04,Gold,Poor
